timestamp,device,series,period,EMUI,Android
4/13/20,Honor 10,HONOR series,monthly,Emotion UI,Android 8.1 Oreo
4/13/20,Honor View10,HONOR series,monthly,nan,nan
4/13/20,P30 lite,HUAWEI P series,quarterly,nan,nan
4/13/20,P20 lite,HUAWEI P series,quarterly,nan,nan
4/13/20,P Smart 2019,HUAWEI P series,quarterly,nan,nan
4/13/20,P 9 lite mini,HUAWEI P series,quarterly,nan,nan
4/13/20,P Smart,HUAWEI P series,quarterly,,
4/13/20,Mate 20 Lite,HUAWEI Mate series,quarterly,nan,nan
4/13/20,Mate 10 Lite,HUAWEI Mate series,quarterly,,Android 10.0 Q
4/13/20,Y9 Prime 2019,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y9 2019,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y9 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y6 2019,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y6 Pro 2019,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y6 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y5 2019,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y5 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y5 Prime 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y5 Lite,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y5 Lite 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y3 2018,HUAWEI Y series,quarterly,nan,nan
4/13/20,Y MAX,HUAWEI Y series,quarterly,nan,nan
4/13/20,HUAWEI Y9s,HUAWEI Y series,quarterly,nan,nan
4/13/20,HUAWEI Y6s,HUAWEI Y series,quarterly,nan,nan
4/13/20,Honor 20i,HONOR series,quarterly,nan,nan
4/13/20,Honor 10i,HONOR series,quarterly,nan,nan
4/13/20,Honor 10 Lite,HONOR series,quarterly,nan,nan
4/13/20,Honor 9 Lite,HONOR series,quarterly,,"Android 9 ""Pie"""
4/13/20,Honor 9N,HONOR series,quarterly,nan,nan
4/13/20,Honor 9i,HONOR series,quarterly,,Android 10.0 Q
4/13/20,Honor Play,HONOR series,quarterly,nan,nan
4/13/20,Honor 8A,HONOR series,quarterly,nan,nan
4/13/20,Honor 8X,HONOR series,quarterly,,
4/13/20,Honor 8S,HONOR series,quarterly,nan,nan
