timestamp,device,series,period
2/24/20,nova 3,HUAWEI nova series,quarterly
2/24/20,nova 3e,HUAWEI nova series,quarterly
2/24/20,nova Lite 3,HUAWEI nova series,quarterly
2/24/20,nova 3i,HUAWEI nova series,quarterly
2/24/20,"M5 (8.4"" & 10.8"")",Tablets,quarterly
2/24/20,M5 Pro,Tablets,quarterly
2/24/20,"T5 (10.1"")",Tablets,quarterly
2/24/20,"M5 lite (10.1"" & 8.0"")",Tablets,quarterly
4/13/20,P30 Pro,HUAWEI P series,monthly
4/13/20,P30,HUAWEI P series,monthly
4/13/20,P20 Pro,HUAWEI P series,monthly
4/13/20,P20,HUAWEI P series,monthly
4/13/20,Mate 20 X,HUAWEI Mate series,monthly
4/13/20,Mate 20 Pro,HUAWEI Mate series,monthly
4/13/20,Mate 20,HUAWEI Mate series,monthly
4/13/20,Mate 20 RS,HUAWEI Mate series,monthly
4/13/20,HONOR 20,HONOR series,monthly
4/13/20,HONOR 20 PRO,HONOR series,monthly
4/13/20,Honor View20,HONOR series,monthly
4/13/20,Honor 10,HONOR series,monthly
4/13/20,Honor View10,HONOR series,monthly
4/13/20,P30 lite,HUAWEI P series,quarterly
4/13/20,P20 lite,HUAWEI P series,quarterly
4/13/20,P Smart 2019,HUAWEI P series,quarterly
4/13/20,P 9 lite mini,HUAWEI P series,quarterly
4/13/20,P Smart,HUAWEI P series,quarterly
4/13/20,Mate 20 Lite,HUAWEI Mate series,quarterly
4/13/20,Mate 10 Lite,HUAWEI Mate series,quarterly
4/13/20,Y9 Prime 2019,HUAWEI Y series,quarterly
4/13/20,Y9 2019,HUAWEI Y series,quarterly
4/13/20,Y9 2018,HUAWEI Y series,quarterly
4/13/20,Y6 2019,HUAWEI Y series,quarterly
4/13/20,Y6 Pro 2019,HUAWEI Y series,quarterly
4/13/20,Y6 2018,HUAWEI Y series,quarterly
4/13/20,Y5 2019,HUAWEI Y series,quarterly
4/13/20,Y5 2018,HUAWEI Y series,quarterly
4/13/20,Y5 Prime 2018,HUAWEI Y series,quarterly
4/13/20,Y5 Lite,HUAWEI Y series,quarterly
4/13/20,Y5 Lite 2018,HUAWEI Y series,quarterly
4/13/20,Y3 2018,HUAWEI Y series,quarterly
4/13/20,Y MAX,HUAWEI Y series,quarterly
4/13/20,HUAWEI Y9s,HUAWEI Y series,quarterly
4/13/20,HUAWEI Y6s,HUAWEI Y series,quarterly
4/13/20,Honor 20i,HONOR series,quarterly
4/13/20,Honor 10i,HONOR series,quarterly
4/13/20,Honor 10 Lite,HONOR series,quarterly
4/13/20,Honor 9 Lite,HONOR series,quarterly
4/13/20,Honor 9N,HONOR series,quarterly
4/13/20,Honor 9i,HONOR series,quarterly
4/13/20,Honor Play,HONOR series,quarterly
4/13/20,Honor 8A,HONOR series,quarterly
4/13/20,Honor 8X,HONOR series,quarterly
4/13/20,Honor 8S,HONOR series,quarterly
4/13/20,Honor 8C,HONOR series,quarterly
4/13/20,Honor 9X,HONOR series,quarterly
4/13/20,Honor 7S,HONOR series,quarterly
4/13/20,nova 5T,HUAWEI nova series,quarterly
4/13/20,nova 4,HUAWEI nova series,quarterly
4/13/20,nova 3,HUAWEI nova series,quarterly
4/13/20,nova 3e,HUAWEI nova series,quarterly
4/13/20,nova Lite 3,HUAWEI nova series,quarterly
4/13/20,nova 3i,HUAWEI nova series,quarterly
4/13/20,"M5 (8.4"" & 10.8"")",Tablets,quarterly
4/13/20,M5 Pro,Tablets,quarterly
4/13/20,"T5 (10.1"")",Tablets,quarterly
4/13/20,"M5 lite (10.1"" & 8.0"")",Tablets,quarterly
5/5/20,P30 Pro,HUAWEI P series,monthly
5/5/20,P30,HUAWEI P series,monthly
5/5/20,Mate 30,HUAWEI Mate series,monthly
5/5/20,Mate 30 pro,HUAWEI Mate series,monthly
5/5/20,Mate 20 X,HUAWEI Mate series,monthly
5/5/20,Mate 20 Pro,HUAWEI Mate series,monthly
5/5/20,Mate 20,HUAWEI Mate series,monthly
5/5/20,Mate 20 RS,HUAWEI Mate series,monthly
5/5/20,HONOR 20,HONOR series,monthly
5/5/20,HONOR 20 PRO,HONOR series,monthly
