CVE,Severity,Year,Month,Affected Versions
CVE-2021-22431,Medium,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22425,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22423,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22422,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22418,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22376,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22372,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22371,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22370,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22369,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22368,High,2021,9,"EMUI 10.0.0, Magic UI 3.0.0"
CVE-2021-22346,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22343,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22334,Medium,2021,9,"EMUI 10.1.0,  Magic UI 3.1.0"
CVE-2021-22325,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-37054,Medium,2021,9,"EMUI 10.1.1,  Magic UI 3.1.1"
CVE-2021-37055,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-22322,High,2021,9,"EMUI 10.1.1, EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37020,High,2021,10,"EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-22326,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-37118,Medium,2021,10,"EMUI 10.1.1,  Magic UI 3.1.1"
CVE-2021-37117,Medium,2021,10,"EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-37114,Low,2021,10,"EMUI 11.0.1,  EMUI 10.1.1,  Magic UI 3.1.1"
CVE-2021-37113,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37111,Medium,2021,10,"EMUI 11.0.1,  EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-37103,Medium,2021,10,"EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37097,Medium,2021,10,"EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37093,High,2021,10,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37092,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-37075,High,2021,10,"EMUI 10.1.0,   Magic UI 3.1.0"
CVE-2021-37056,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37054,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37053,Medium,2021,10,"EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-37052,High,2021,10,"EMUI 11.0.1,   EMUI 10.1.0,  EMUI 10.0.0,   EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37051,Medium,2021,10,"EMUI 11.0.1,   EMUI 10.1.0,  EMUI 10.0.0,   EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
