filename,first_12_bytes,spl,identifier,firmware_name,os_version,android_version,patch_type
CPH1803EX_11_OTA_0350_all_xTzZRZpUTgIe.ozip,PK,,106.0,,,,
CPH1853EX_11_OTA_0340_all_caoQvZHEA4dq.ozip,PK,,107.0,,,,
CPH1831EX_11_A.01_OTA_0010_all_201805011658.ozip,OPPOENCRYPT!,,108.0,,,,
CPH1919EX_11_OTA_1270_all_iEdUufccRXQj(1).ozip,OPPOENCRYPT!,2020-05-05,109.0,,,,
CPH1907EX_11_OTA_0210_all_vmfECvnUn8aY.ozip,OPPOENCRYPT!,2019-09-05,110.0,,,,
CPH1725_11_A.26_OTA_0260_all_201805312223.ozip,OPPOENCRYPT!,,111.0,,,,
CPH1723_11_A.26_OTA_0260_all_201805312223.ozip,OPPOENCRYPT!,,112.0,,,,
CPH1831EX_11_A.15_OTA_0150_all_201812211048.ozip,OPPOENCRYPT!,,113.0,,,,
CPH2001PUEX_11_OTA_1550_all_w0OPYUKDLxui.ozip,PK,,114.0,,,,
CPH1893EX_11_OTA_0030_all_Yj1L6A2w62v5_local.ozip,OPPOENCRYPT!,,115.0,,,,
CPH1893EX_11_OTA_0040_all_kdC9h54v4S6d_local.ozip,OPPOENCRYPT!,,116.0,,,,
CPH1893EX_11_OTA_0050_all_cAFb8WPA2kDO_local.ozip,OPPOENCRYPT!,,117.0,,,,
CPH1893EX_11_OTA_1370_all_RSNcqPxPbbNS.ozip,OPPOENCRYPT!,2020-07-05,118.0,,,,
CPH1923EX_11_OTA_0150_all_scauhn4q4OnH.ozip,PK,,119.0,,,,
A5_2020_11_OTA_0190_all_4eFyg8y02S8t.ozip,PK,,120.0,,,,
A5_2020_PU_11_OTA_0470_all_DJuhWDP8YC1S.ozip,PK,,121.0,,,,
CPH1931PUEX_11_OTA_0510_all_iny8r7XC33uJ.ozip,PK,,122.0,,,,
CPH1941PUEX_11_OTA_1750_all_bSP1NJz3Y3SP.ozip,PK,,123.0,,,,
CPH1931PUEX_11_OTA_1930_all_S66Mttqhw8HH.ozip,PK,,124.0,,,,
CPH1931PUEX_11_OTA_1970_all_BufKZrldwC5p.ozip,PK,,125.0,,,,
CPH1907EX_11_OTA_0190_all_kTHS351c3S45.ozip,OPPOENCRYPT!,2019-08-05,126.0,,,,
CPH1833EX_11_A.11_OTA_0110_all_201808171005.ozip,OPPOENCRYPT!,,127.0,,,,
CPH1833EX_11_OTA_1320_all_VBccG7HONJs6.ozip,OPPOENCRYPT!,2019-12-05,128.0,,,,
CPH1833EX_11_OTA_1380_all_0oaJKZbMtndi.ozip,OPPOENCRYPT!,2020-07-05,129.0,,,,
CPH1833EX_11_OTA_1390_all_L3hK0A7wf4PX.ozip,OPPOENCRYPT!,2020-09-05,130.0,,,,
CPH1833EX_11_OTA_1400_all_Qj7jCzCFH1ID.ozip,OPPOENCRYPT!,2020-11-05,131.0,,,,
CPH1831EX_11_OTA_1410_all_XZ3tXSpVNqLp.ozip,OPPOENCRYPT!,2021-01-05,132.0,,,,
CPH1833EX_11_OTA_1420_all_7DIkJtgPrHGe.ozip,OPPOENCRYPT!,2021-03-05,133.0,,,,
CPH1831EX_11_OTA_1430_all_Tpxs1vddiY6M.ozip,OPPOENCRYPT!,2021-05-05,134.0,,,,
CPH1831EX_11_OTA_1440_all_QDm4vjyc5fTH.ozip,OPPOENCRYPT!,2021-07-05,135.0,,,,
CPH1877EX_11_OTA_3330_all_3rOkzYcgL4w1.ozip,OPPOENCRYPT!,2020-04-05,136.0,,,,
CPH1931PUEX_11_OTA_1870_all_Rhme8YiYdblu.ozip,PK,,137.0,,,,
CPH1931PUEX_11_OTA_1890_all_yAQBkRUlEHpM.ozip,PK,,138.0,,,,
CPH1931PUEX_11_OTA_1910_all_wUf70mK9UvnH.ozip,PK,,139.0,,,,
CPH1931PUEX_11_OTA_1950_all_b1LLsGq8vUaz.ozip,PK,,140.0,,,,
CPH1919EX_11_OTA_0180_all_zMaiaUaAN2BM.ozip,OPPOENCRYPT!,2020-01-05,141.0,,,,
CPH1919EX_11_OTA_1360_all_ZG3E5oMgLXZn.ozip,OPPOENCRYPT!,2021-07-05,142.0,,,,
CPH1919EX_11_OTA_1370_all_G3zGmuahetow.ozip,OPPOENCRYPT!,2021-09-05,143.0,,,,
CPH1875_11_OTA_3050_all_mg1gqlCUm3i7.ozip,OPPOENCRYPT!,2020-04-05,144.0,,,,
CPH1875PUEX_11_OTA_3170_all_yDI8suZMrtS1.ozip,OPPOENCRYPT!,2020-08-05,145.0,,,,
CPH1871PUEX_11_OTA_3210_all_iXnoZbtv8jRq.ozip,OPPOENCRYPT!,2020-10-05,146.0,,,,
CPH1801EX_11_OTA_0100_all_wx6vPV1ADmOW.ozip,PK,,147.0,,,,
CPH2059PU_11_OTA_0210_all_q1LM1cbMKCYq.ozip,PK,,148.0,,,,
CPH2179PU_11_OTA_0250_all_I9YmdxXD2Oe8.ozip,PK,,149.0,,,,
CPH2239PU_11_OTA_0050_all_8Un6HfdeKf9P.ozip,PK,,150.0,,,,
CPH2239PU_11_OTA_0070_all_9gqfCbCilsAp.ozip,PK,,151.0,,,,
CPH1907PUEX_11_OTA_0390_all_yCoBAlbPXTCG.ozip,OPPOENCRYPT!,2020-05-05,152.0,,,,
CPH2023PU_11_OTA_0570_all_mNfnTBA5Dis0.ozip,OPPOENCRYPT!,2020-02-05,153.0,,,,
CPH2023PU_11_OTA_0590_all_TpNwl0E3HdjS.ozip,OPPOENCRYPT!,2020-03-05,154.0,,,,
CPH2023PU_11_OTA_0630_all_8uy7dPpMLuQ0.ozip,OPPOENCRYPT!,2020-04-05,155.0,,,,
CPH2023PU_11_OTA_0650_all_jZotwnkth95u.ozip,OPPOENCRYPT!,2020-04-05,156.0,,,,
CPH2023PU_11_OTA_0910_all_CdZISFm6cTP6.ozip,OPPOENCRYPT!,2020-09-05,157.0,,,,
CPH2023PU_11_OTA_0950_all_Ic9Fz1ziM4u5.ozip,OPPOENCRYPT!,2020-10-05,158.0,,,,
CPH1893EX_11_OTA_0080_all_OIUclOOP8cpD_local.ozip,OPPOENCRYPT!,,159.0,,,,
CPH1893EX_11_OTA_0100_all_uY1SuLoeTGCE.ozip,OPPOENCRYPT!,,160.0,,,,
CPH1893EX_11_OTA_0130_all_1qdeSQ3blpET.ozip,OPPOENCRYPT!,,161.0,,,,
CPH1893EX_11_OTA_1320_all_selH8fv94iIW.ozip,OPPOENCRYPT!,2019-12-05,162.0,,,,
CPH1893EX_11_OTA_1340_all_pt0zOM5nesF9.ozip,OPPOENCRYPT!,2020-03-05,163.0,,,,
CPH1893EX_11_OTA_1380_all_Zecf0EQMJh1W.ozip,OPPOENCRYPT!,2020-08-05,164.0,,,,
CPH1893EX_11_OTA_1390_all_eqyBr7Tdd4tF.ozip,OPPOENCRYPT!,2020-09-05,165.0,,,,
CPH1893EX_11_OTA_1400_all_sHQNovWrfqks.ozip,OPPOENCRYPT!,2020-11-05,166.0,,,,
CPH1893EX_11_OTA_1410_all_8PMuG7oQl776.ozip,OPPOENCRYPT!,2021-01-05,167.0,,,,
CPH1893EX_11_OTA_1420_all_fHKdT4oIZnAy.ozip,OPPOENCRYPT!,2021-03-05,168.0,,,,
CPH1893EX_11_OTA_1430_all_ih8wWZ4Sd9Fm.ozip,OPPOENCRYPT!,2021-05-05,169.0,,,,
CPH1893EX_11_OTA_1440_all_VUhzJRgJYhhN.ozip,OPPOENCRYPT!,2021-07-05,170.0,,,,
CPH1955EX_11_OTA_0020_all_0AVXth4UqX0V.ozip,OPPOENCRYPT!,2019-08-05,171.0,,,,
CPH1955EX_11_OTA_0030_all_CfJnpzhmQiE9.ozip,OPPOENCRYPT!,2019-09-05,172.0,,,,
CPH1955EX_11_OTA_0040_all_sGW7S8DseIRv.ozip,OPPOENCRYPT!,2019-10-05,173.0,,,,
CPH1955EX_11_OTA_0050_all_tafZl9hKq1So.ozip,OPPOENCRYPT!,2019-11-05,174.0,,,,
CPH1955EX_11_OTA_0060_all_qD3nuG1h3Nd5.ozip,OPPOENCRYPT!,2020-01-05,175.0,,,,
CPH1955EX_11_OTA_0070_all_SbgmiZuVRfuJ.ozip,OPPOENCRYPT!,2020-02-05,176.0,,,,
CPH1955EX_11_OTA_0110_all_YXRkFjTAU3TV.ozip,OPPOENCRYPT!,2020-04-05,177.0,,,,
