CVE,Year,Month,Severity
CVE-2023-20933,2023,February,High
CVE-2022-43680,2023,February,High
CVE-2023-20939,2023,February,High
CVE-2023-20940,2023,February,High
CVE-2023-20945,2023,February,High
CVE-2023-20946,2023,February,High
CVE-2022-20481,2023,February,High
CVE-2023-20932,2023,February,High
CVE-2022-20455,2023,February,High
CVE-2022-39189,2023,February,High
CVE-2022-39842,2023,February,High
CVE-2022-41222,2023,February,High
CVE-2023-20937,2023,February,High
CVE-2023-20938,2023,February,High
CVE-2022-0850,2023,February,High
CVE-2023-20602,2023,February,High
CVE-2022-33221,2023,February,High
CVE-2022-33233,2023,February,High
CVE-2022-33248,2023,February,High
CVE-2022-33271,2023,February,High
CVE-2022-33277,2023,February,High
CVE-2022-33306,2023,February,High
CVE-2022-34145,2023,February,High
CVE-2022-34146,2023,February,High
CVE-2022-40502,2023,February,High
CVE-2022-40512,2023,February,High
CVE-2022-33213,2023,March,Critical
CVE-2022-33256,2023,March,Critical
CVE-2023-20951,2023,March,Critical
CVE-2023-20954,2023,March,Critical
CVE-2023-20906,2023,March,High
CVE-2023-20911,2023,March,High
CVE-2023-20917,2023,March,High
CVE-2023-20947,2023,March,High
CVE-2023-20956,2023,March,High
CVE-2023-20958,2023,March,High
CVE-2023-20963,2023,March,High
CVE-2023-20964,2023,March,High
CVE-2021-33655,2023,March,High
CVE-2023-20620,2023,March,High
CVE-2023-20621,2023,March,High
CVE-2023-20623,2023,March,High
CVE-2022-25655,2023,March,High
CVE-2022-25694,2023,March,High
CVE-2022-25705,2023,March,High
CVE-2022-25709,2023,March,High
CVE-2022-33242,2023,March,High
CVE-2022-33244,2023,March,High
CVE-2022-33250,2023,March,High
CVE-2022-33254,2023,March,High
CVE-2022-33272,2023,March,High
CVE-2022-33278,2023,March,High
CVE-2022-33309,2023,March,High
CVE-2022-40515,2023,March,High
CVE-2022-40527,2023,March,High
CVE-2022-40530,2023,March,High
CVE-2022-40531,2023,March,High
CVE-2022-40535,2023,March,High
CVE-2022-22075,2023,March,High
CVE-2022-40537,2023,March,High
CVE-2022-40540,2023,March,High
CVE-2022-20467,2023,March,High
CVE-2022-20499,2023,March,High
CVE-2022-4452,2023,March,High
CVE-2023-20910,2023,March,High
CVE-2023-20926,2023,March,High
CVE-2023-20929,2023,March,High
CVE-2023-20931,2023,March,High
CVE-2023-20936,2023,March,High
CVE-2023-20952,2023,March,High
CVE-2023-20953,2023,March,High
CVE-2023-20955,2023,March,High
CVE-2023-20957,2023,March,High
CVE-2023-20959,2023,March,High
CVE-2023-20960,2023,March,High
CVE-2023-20962,2023,March,High
CVE-2023-20966,2023,March,High
CVE-2023-21085,2023,April,Critical
CVE-2023-21096,2023,April,Critical
CVE-2022-33231,2023,April,Critical
CVE-2022-33288,2023,April,Critical
CVE-2022-33289,2023,April,Critical
CVE-2022-33302,2023,April,Critical
CVE-2023-21081,2023,April,High
CVE-2023-21088,2023,April,High
CVE-2023-21089,2023,April,High
CVE-2023-21092,2023,April,High
CVE-2023-21094,2023,April,High
CVE-2023-21097,2023,April,High
CVE-2023-21098,2023,April,High
CVE-2023-21090,2023,April,High
CVE-2022-20463,2023,April,High
CVE-2023-20967,2023,April,High
CVE-2023-21084,2023,April,High
CVE-2023-21086,2023,April,High
CVE-2023-21093,2023,April,High
CVE-2023-21099,2023,April,High
CVE-2023-21100,2023,April,High
CVE-2022-20471,2023,April,High
CVE-2023-20909,2023,April,High
CVE-2023-20935,2023,April,High
CVE-2023-21080,2023,April,High
CVE-2023-21082,2023,April,High
CVE-2023-21083,2023,April,High
CVE-2023-21091,2023,April,High
CVE-2022-4696,2023,April,High
CVE-2023-20941,2023,April,High
CVE-2022-32599,2023,April,High
CVE-2023-20652,2023,April,High
CVE-2023-20653,2023,April,High
CVE-2023-20654,2023,April,High
CVE-2023-20655,2023,April,High
CVE-2023-20656,2023,April,High
CVE-2023-20657,2023,April,High
CVE-2022-40503,2023,April,High
CVE-2022-33269,2023,April,High
CVE-2022-33270,2023,April,High
CVE-2022-40532,2023,April,High
CVE-2023-21630,2023,April,High
CVE-2023-20950,2023,April,Moderate
CVE-2021-30285,2022,January,Critical
CVE-2021-39630,2022,January,High
CVE-2021-39632,2022,January,High
CVE-2020-0338,2022,January,High
CVE-2021-39623,2022,January,High
CVE-2021-39618,2022,January,High
CVE-2021-39620,2022,January,High
CVE-2021-39621,2022,January,High
CVE-2021-39622,2022,January,High
CVE-2021-39625,2022,January,High
CVE-2021-39626,2022,January,High
CVE-2021-39627,2022,January,High
CVE-2021-39629,2022,January,High
CVE-2021-0643,2022,January,High
CVE-2021-39628,2022,January,High
CVE-2021-39659,2022,January,High
CVE-2021-0959,2022,January,High
CVE-2021-39634,2022,January,High
CVE-2021-39633,2022,January,High
CVE-2021-31345,2022,January,High
CVE-2021-31346,2022,January,High
CVE-2021-31890,2022,January,High
CVE-2021-40148,2022,January,High
CVE-2021-31889,2022,January,High
CVE-2021-30319,2022,January,High
CVE-2021-30353,2022,January,High
CVE-2021-30287,2022,January,High
CVE-2021-30300,2022,January,High
CVE-2021-30301,2022,January,High
CVE-2021-30307,2022,January,High
CVE-2021-30308,2022,January,High
CVE-2021-30311,2022,January,High
CVE-2021-39675,2022,February,Critical
CVE-2021-30317,2022,February,Critical
CVE-2021-39619,2022,February,High
CVE-2021-39663,2022,February,High
CVE-2021-39676,2022,February,High
CVE-2021-39664,2022,February,High
CVE-2020-13112,2022,February,High
CVE-2020-13113,2022,February,High
CVE-2021-39665,2022,February,High
CVE-2021-39666,2022,February,High
CVE-2021-39668,2022,February,High
CVE-2021-39669,2022,February,High
CVE-2021-39671,2022,February,High
CVE-2021-39674,2022,February,High
CVE-2021-0706,2022,February,High
CVE-2021-39631,2022,February,High
CVE-2022-20024,2022,February,High
CVE-2022-20025,2022,February,High
CVE-2022-20026,2022,February,High
CVE-2022-20027,2022,February,High
CVE-2022-20028,2022,February,High
CVE-2021-35068,2022,February,High
CVE-2021-35069,2022,February,High
CVE-2021-35074,2022,February,High
CVE-2021-35075,2022,February,High
CVE-2021-35077,2022,February,High
CVE-2021-30309,2022,February,High
CVE-2021-30318,2022,February,High
CVE-2021-30322,2022,February,High
CVE-2021-30323,2022,February,High
CVE-2021-30326,2022,February,High
CVE-2021-39708,2022,March,Critical
CVE-2021-1942,2022,March,Critical
CVE-2021-35110,2022,March,Critical
CVE-2021-39692,2022,March,High
CVE-2021-39693,2022,March,High
CVE-2021-39695,2022,March,High
CVE-2021-39697,2022,March,High
CVE-2021-39690,2022,March,High
CVE-2021-39694,2022,March,High
CVE-2021-39667,2022,March,High
CVE-2021-0957,2022,March,High
CVE-2021-39701,2022,March,High
CVE-2021-39702,2022,March,High
CVE-2021-39703,2022,March,High
CVE-2021-39704,2022,March,High
CVE-2021-39706,2022,March,High
CVE-2021-39707,2022,March,High
CVE-2021-39709,2022,March,High
CVE-2020-29368,2022,March,High
CVE-2021-39685,2022,March,High
CVE-2021-39686,2022,March,High
CVE-2021-39698,2022,March,High
CVE-2021-3655,2022,March,High
CVE-2022-20047,2022,March,High
CVE-2022-20048,2022,March,High
CVE-2022-20053,2022,March,High
CVE-2021-35088,2022,March,High
CVE-2021-35103,2022,March,High
CVE-2021-35105,2022,March,High
CVE-2021-35106,2022,March,High
CVE-2021-35117,2022,March,High
CVE-2021-1950,2022,March,High
CVE-2021-30328,2022,March,High
CVE-2021-30329,2022,March,High
CVE-2021-30332,2022,March,High
CVE-2021-30333,2022,March,High
CVE-2021-39689,2022,March,Moderate
CVE-2021-35081,2022,April,Critical
CVE-2021-35112,2022,April,Critical
CVE-2021-35123,2022,April,Critical
CVE-2021-30339,2022,April,Critical
CVE-2021-30341,2022,April,Critical
CVE-2021-30342,2022,April,Critical
CVE-2021-30343,2022,April,Critical
CVE-2021-30347,2022,April,Critical
CVE-2021-35104,2022,April,Critical
CVE-2021-0694,2022,April,High
CVE-2021-39794,2022,April,High
CVE-2021-39795,2022,April,High
CVE-2021-39796,2022,April,High
CVE-2021-39797,2022,April,High
CVE-2021-39798,2022,April,High
CVE-2021-39799,2022,April,High
CVE-2021-39803,2022,April,High
CVE-2021-39804,2022,April,High
CVE-2021-39808,2022,April,High
CVE-2021-39805,2022,April,High
CVE-2021-39809,2022,April,High
CVE-2021-39807,2022,April,High
CVE-2021-0707,2022,April,High
CVE-2021-39801,2022,April,High
CVE-2021-39802,2022,April,High
CVE-2021-39800,2022,April,High
