firmware_name,spl,post_version,post_build,android_version
PD2185F_EX_A_13.1.11.1.W30.V000L1-update-full_1672796201.zip,2022-12-01,PD2185F_EX_A_13.1.11.1.W30.V000L1,vivo/V2145/V2145:13/TP1A.220624.014/compiler12141954:user/release-keys,Android 13
PD2167F_EX_A_12.0.14.4.W30.V000L1-update-full_1660150538.zip,2022-06-01,PD2167F_EX_A_12.0.14.4.W30,vivo/2130/2130:12/SP1A.210812.003/compiler07052005:user/release-keys,Android 12
PD2150F_EX_A_1.14.1-update-full_1648868377.zip,2022-03-01,PD2150F_EX_A_1.14.1,vivo/2116/2116:11/RP1A.200720.012/compiler0324215317:user/release-keys,Android 11
PD2103F_EX_A_6.18.1-update-full_1663234827.zip,2022-07-01,PD2103F_EX_A_6.18.1,vivo/2058/2058:12/SP1A.210812.003/compiler07041641:user/release-keys,Android 12
PD2183F_EX_A_12.0.13.10.W20.V000L1-update-full_1670398156.zip,2022-11-01,PD2183F_EX_A_12.0.13.10.W20.V000L1,vivo/V2144/V2144:12/SP1A.210812.003/compiler11262048:user/release-keys,Android 12
PD2139F_EX_A_1.3.8-update-full_1643358538.zip,2022-01-01,PD2139F_EX_A_1.3.8,vivo/2111/2111:11/RP1A.200720.012/compiler0113221335:user/release-keys,Android 11
PD1901F_EX_A_1.56.25-update-full_1620393006.zip,2021-03-01,PD1901F_EX_A_1.56.25,vivo/1902/1902:9/PPR1.180610.011/compiler04071706:user/release-keys,Android 9 Pie
PD2138F_EX_A_36.19.1-update-full_1667960717.zip,2022-10-01,PD2138F_EX_A_36.19.1,vivo/2110/2110:12/SP1A.210812.003/compiler10102057:user/release-keys,Android 12
PD2341F_EX_A_14.0.8.12.W20.V000L1-update-full_1712735564.zip,2024-03-01,PD2341F_EX_A_14.0.8.12.W20.V000L1,vivo/V2327/V2327:14/UP1A.231005.007/compiler04042135:user/release-keys,Android 14
PD1987F_EX_A_1.14.32-update-full_1652062313.zip,2022-04-01,PD1987F_EX_A_1.14.32,vivo/1938N/1938:10/QP1A.190711.020/compiler04071536:user/release-keys,Android 10
PD2069F_EX_A_36.9.36-update-full_1665362898.zip,2022-09-01,PD2069F_EX_A_36.9.36,vivo/2041/2041:12/SP1A.210812.003/compiler09081845:user/release-keys,Android 12
PD2050F_EX_A_6.7.20-update-full_1649302898.zip,2022-03-01,PD2050F_EX_A_6.7.20,vivo/2036N/2036:12/SP1A.210812.003/compiler03092105:user/release-keys,Android 12
PD2135F_EX_A_1.21.0-update-full_1645954403.zip,2022-02-01,PD2135F_EX_A_1.21.0,vivo/2105/2105:11/RP1A.200720.012/compiler0211000108:user/release-keys,Android 11
PD2147F_EX_A_36.19.1-update-full_1667987546.zip,2022-10-01,PD2147F_EX_A_36.19.1,vivo/2109/2109:12/SP1A.210812.003/compiler10102105:user/release-keys,Android 12
PD2225F_EX_A_12.0.8.6.W30.V000L1-update-full_1667977355.zip,2022-10-01,PD2225F_EX_A_12.0.8.6.W30.V000L1,vivo/V2205/V2205:12/SP1A.210812.003/compiler10241505:user/release-keys,Android 12
PD2139F_EX_A_1.7.1-update-full_1657700871.zip,2022-07-01,PD2139F_EX_A_1.7.1,vivo/2111/2111:11/RP1A.200720.012/compiler0706101732:user/release-keys,Android 11
PD2226F_EX_A_12.0.14.2.W20.V000L1-update-full_1667205557.zip,2022-10-01,PD2226F_EX_A_12.0.14.2.W20.V000L1,vivo/V2207/V2207:12/SP1A.210812.003/compiler10242049:user/release-keys,Android 12
PD2204F_EX_A_12.0.9.0.W20.V000L1-update-full_1668002714.zip,2022-10-01,PD2204F_EX_A_12.0.9.0.W20.V000L1,vivo/V2158/V2158:12/SP1A.210812.003/compiler10211227:user/release-keys,Android 12
PD2069F_EX_A_36.9.46-update-full_1670920331.zip,2022-11-01,PD2069F_EX_A_36.9.46,vivo/2041/2041:12/SP1A.210812.003/compiler11162128:user/release-keys,Android 12
PD2103F_EX_A_1.9.6-update-full_1650939791.zip,2022-04-01,PD2103F_EX_A_1.9.6,vivo/2058/2058:11/RP1A.200720.012/compiler0419102927:user/release-keys,Android 11
PD1969F_EX_A_6.9.15-update-full_1653360223.zip,2022-05-01,PD1969F_EX_A_6.9.15,vivo/1933/1933:11/RP1A.200720.012/compiler0429144255:user/release-keys,Android 11
PD2215F_EX_A_13.1.13.5.W20.V000L1-update-full_1672816970.zip,2022-12-01,PD2215F_EX_A_13.1.13.5.W20.V000L1,vivo/V2202/V2202:13/TP1A.220624.014/compiler12122019:user/release-keys,Android 13
PD2139F_EX_A_6.19.7-update-full_1665058631.zip,2022-09-01,PD2139F_EX_A_6.19.7,vivo/2111/2111:12/SP1A.210812.003/compiler09142116:user/release-keys,Android 12
PD2060F_EX_A_1.7.15-update-full_1654738248.zip,2022-05-01,PD2060F_EX_A_1.7.15,vivo/2034/2034:11/RP1A.200720.012/compiler04271702:user/release-keys,Android 11
PD2215F_EX_A_12.0.6.7.W20.V000L1-update-full_1661949170.zip,2022-08-01,PD2215F_EX_A_12.0.6.7.W20.V000L1,vivo/V2202/V2202:12/SP1A.210812.003/compiler08292249:user/release-keys,Android 12
PD2059F_EX_A_6.9.3-update-full_1654826787.zip,2022-05-01,PD2059F_EX_A_6.9.3,vivo/2046/2046:12/SP1A.210812.003/compiler05100041:user/release-keys,Android 12
PD2140IF_EX_A_36.20.1-update-full_1654826757.zip,2022-05-01,PD2140IF_EX_A_36.20.1,vivo/2134T/2120:12/SP1A.210812.003/compiler05092246:user/release-keys,Android 12
PD2059F_EX_A_6.8.19-update-full_1644565769.zip,2022-01-01,PD2059F_EX_A_6.8.19,vivo/2046/2046:12/SP1A.210812.003/compiler01132234:user/release-keys,Android 12
PD2167F_EX_A_12.0.14.2.W20.V000L1-update-full_1657115644.zip,2022-06-01,PD2167F_EX_A_12.0.14.2.W20.V000L1,vivo/2130/2130:12/SP1A.210812.003/compiler06212247:user/release-keys,Android 12
PD1832F_EX_A_6.20.6-update-full_1617930461.zip,2021-03-01,PD1832F_EX_A_6.20.6,vivo/1818/1818:10/QP1A.190711.020/compiler03222011:user/release-keys,Android 10
PD2226F_EX_A_12.0.13.2.W20.V000L1-update-full_1663574738.zip,2022-09-01,PD2226F_EX_A_12.0.13.2.W20.V000L1,vivo/V2207/V2207:12/SP1A.210812.003/compiler09142210:user/release-keys,Android 12
PD1913F_EX_A_6.13.0-update-full_1614238613.zip,2020-12-01,PD1913F_EX_A_6.13.0,vivo/1907/1907:10/QP1A.190711.020/compiler12152304:user/release-keys,Android 10
PD2225F_EX_A_12.0.8.7.W20.V000L1-update-full_1667977375.zip,2022-10-01,PD2225F_EX_A_12.0.8.7.W20.V000L1,vivo/V2205/V2205:12/SP1A.210812.003/compiler10241201:user/release-keys,Android 12
PD2214F_EX_A_12.0.7.3.W20.V000L1-update-full_1664441476.zip,2022-09-01,PD2214F_EX_A_12.0.7.3.W20.V000L1,vivo/V2201/V2201:12/SP1A.210812.003/compiler09172302:user/release-keys,Android 12
PD2327F_EX_A_14.0.10.3.W20.V000L1-update-full_1712041515.zip,2024-03-01,PD2327F_EX_A_14.0.10.3.W20.V000L1,vivo/V2333/V2333:14/UP1A.231005.007/compiler03152132:user/release-keys,Android 14
PD2269F_EX_A_13.0.9.32.W20.V000L1-update-full_1688980095.zip,2023-07-01,PD2269F_EX_A_13.0.9.32.W20.V000L1,vivo/V2231/V2231:13/TP1A.220624.014/compiler07061725:user/release-keys,Android 13
PD2147F_EX_A_36.21.3-update-full_1672795545.zip,2022-12-01,PD2147F_EX_A_36.21.3,vivo/2109/2109:12/SP1A.210812.003/compiler12091555:user/release-keys,Android 12
PD2183F_EX_A_13.1.3.8.W20.V000L1-update-full_1697016130.zip,2023-09-01,PD2183F_EX_A_13.1.3.8.W20.V000L1,vivo/V2144/V2144:13/TP1A.220624.014/compiler09161028:user/release-keys,Android 13
PD2135F_EX_A_36.13.14-update-full_1667871665.zip,2022-10-01,PD2135F_EX_A_36.13.14,vivo/2105/2105:12/SP1A.210812.003/compiler10181137:user/release-keys,Android 12
PD2214F_EX_A_12.0.7.5.W20.V000L1-update-full_1667382687.zip,2022-10-01,PD2214F_EX_A_12.0.7.5.W20.V000L1,vivo/V2201/V2201:12/SP1A.210812.003/compiler10252104:user/release-keys,Android 12
PD2215F_EX_A_12.0.8.5.W20.V000L1-update-full_1669013669.zip,2022-11-01,PD2215F_EX_A_12.0.8.5.W20.V000L1,vivo/V2202/V2202:12/SP1A.210812.003/compiler11081123:user/release-keys,Android 12
PD2147F_EX_A_6.16.1-update-full_1658458562.zip,2022-07-01,PD2147F_EX_A_6.16.1,vivo/2109/2109:12/SP1A.210812.003/compiler07082242:user/release-keys,Android 12
PD2034F_EX_A_1.9.8-update-full_1632731042.zip,2021-08-01,PD2034F_EX_A_1.9.8,vivo/2027N/2027:10/QP1A.190711.020/compiler09081722:user/release-keys,Android 10
PD2337F_EX_A_14.0.7.10.W30.V000L1-update-full_1716885936.zip,2024-05-01,PD2337F_EX_A_14.0.7.10.W30.V000L1,vivo/V2330i/V2330:14/UP1A.231005.007/compiler05222235:user/release-keys,Android 14
PD1965F_EX_A_1.13.14-update-full_1652062382.zip,2022-04-01,PD1965F_EX_A_1.13.14,vivo/1935N/1935:10/QP1A.190711.020/compiler04061454:user/release-keys,Android 10
PD2226F_EX_A_12.0.15.9.W20.V000L1-update-full_1676969135.zip,2023-01-01,PD2226F_EX_A_12.0.15.9.W20.V000L1,vivo/V2207/V2207:12/SP1A.210812.003/compiler02131839:user/release-keys,Android 12
PD2140F_EX_A_6.20.4-update-full_1654772580.zip,2022-04-01,PD2140F_EX_A_6.20.4,vivo/2020C/2120:12/SP1A.210812.003/compiler04252208:user/release-keys,Android 12
PD2038F_EX_A_6.9.8-update-full_1648092732.zip,2022-03-01,PD2038F_EX_A_6.9.8,vivo/2023N/2023:11/RP1A.200720.012/compiler03031604:user/release-keys,Android 11
PD2135F_EX_A_1.19.4-update-full_1639908629.zip,2021-11-01,PD2135F_EX_A_1.19.4,vivo/2105/2105:11/RP1A.200720.012/compiler1201210704:user/release-keys,Android 11
